CNPJ_CIA,DENOM_SOCIAL,SIT,DT_REG,DT_CONST,DT_CANCEL
08.773.135/0001-00,2W ECOBANK S.A.,ATIVO,10/29/2020,3/23/2007,
11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,CANCELADA,3/8/2010,11/3/2009,12/18/2015
12.091.809/0001-55,3R PETROLEUM OLÉO E GÁS S.A.,ATIVO,11/9/2020,6/8/2010,
01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,ATIVO,7/11/1997,7/30/1996,
01.851.771/0001-55,524 PARTICIPAÇOES SA,ATIVO,5/30/1997,4/2/1997,
01.919.008/0001-19,525 PARTICIPAÇOES SA,CANCELADA,7/16/1997,4/2/1997,5/30/2006
92.659.614/0001-06,A J RENNER SA IND E PARTIP,CANCELADA,6/24/1969,,6/17/1998
02.288.752/0001-25,A.P. PARTICIPAÇOES SA,CANCELADA,1/21/1998,12/14/1997,12/23/2004
21.649.280/0001-33,ABC DADOS E INFORMATICA SA,CANCELADA,6/3/1988,,3/5/1993
02.258.274/0001-00,ABC SUPERMERCADOS SA,CANCELADA,2/27/1998,9/30/1997,12/17/2001
42.275.727/0001-21,ABC XTAL MICROELETRONICA SA,CANCELADA,9/15/1986,,9/11/1997
34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,CANCELADA,12/20/1995,1/6/1970,9/30/2009
44.597.052/0001-62,ABRIL SA,CANCELADA,5/6/1994,,12/21/1999
07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,CANCELADA,7/24/2006,1/4/2006,5/28/2010
07.636.657/0001-99,ACO VERDE DO BRASIL S.A,ATIVO,11/29/2021,5/7/1985,
18.451.005/0001-04,ACOPALMA CIA INDL ACOS V PALMA,CANCELADA,5/9/1978,3/15/1973,8/7/2007
61.150.660/0001-43,ACOS ANHANGUERA SA,CANCELADA,10/20/1971,,2/9/1994
60.890.688/0001-54,ACOS DO BRASIL SA IND E COM,CANCELADA,8/16/1972,,12/14/1989
92.767.409/0001-56,AÇOS FINOS PIRATINI S/A,CANCELADA,7/21/1994,,9/5/1995
60.852.316/0001-33,ACOS IPANEMA (VILLARES) SA,CANCELADA,10/20/1977,,1/11/1993
60.664.810/0001-74,AÇOS VILLARES SA,CANCELADA,5/16/1969,8/18/1944,12/30/2010
13.546.353/0001-33,ACRINOR ACRILONITRILA DO NE SA,CANCELADA,12/23/1981,,2/21/2000
07.825.881/0001-29,ACRUX SECURITIZADORA S/A,CANCELADA,8/9/2006,1/2/2006,2/4/2016
02.808.627/0001-07,ACTORI PARTICIPAÇÕES SA,CANCELADA,12/9/1998,9/14/1998,4/24/2002
47.080.619/0001-17,AÇUCAR GUARANI S/A,CANCELADA,7/20/2007,1/1/1976,8/13/2010
43.631.183/0001-56,ADEPAR ASSESSORIA ADM SERV SA,CANCELADA,4/14/1981,,8/2/1989
11.029.808/0001-18,ADESENE ADESIVOS NO NORDESTE SA,CANCELADA,12/10/1974,,8/9/2005
17.157.215/0001-13,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,CANCELADA,9/22/1969,,12/20/2005
10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,CANCELADA,6/24/2009,8/18/2008,7/12/2022
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,ATIVO,5/21/2014,3/26/2007,
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,ATIVO,11/9/2020,8/17/2020,
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,ATIVO,11/9/2020,8/17/2020,
33.037.169/0001-75,AEROFOTO CRUZEIRO SA,CANCELADA,7/20/1977,,12/1/1992
37.663.076/0001-07,AES Brasil Energia S/A,ATIVO,3/18/2021,3/20/2020,
00.194.724/0001-13,AES BRASIL OPERAÇÕES S.A.,ATIVO,8/17/2021,9/14/1994,
01.917.705/0001-30,AES ELPA SA,CANCELADA,10/14/2002,6/1/1997,9/5/2018
04.128.563/0001-10,AES TIETÊ ENERGIA S.A,CANCELADA,6/29/2001,11/6/2000,5/13/2021
04.128.563/0001-10,AES TIETÊ ENERGIA S.A,CANCELADA,6/29/2001,11/6/2000,5/13/2021
02.998.609/0001-27,AES TIETE SA,CANCELADA,7/14/1999,2/4/1999,12/31/2015
02.998.609/0001-27,AES TIETE SA,CANCELADA,7/14/1999,2/4/1999,12/31/2015
02.808.481/0001-91,AETATIS SECURITIZADORA S.A.,CANCELADA,12/17/1998,9/14/1998,6/24/2016
07.620.094/0001-40,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,CANCELADA,7/12/2006,8/31/2005,11/24/2017
10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,ATIVO,9/24/2010,8/18/2008,
04.212.396/0001-91,AGASUS S.A.,ATIVO,10/3/2023,9/5/2011,
61.573.796/0001-66,AGF BRASIL SEGUROS SA,CANCELADA,4/9/1985,11/1/1904,5/30/2005
33.058.793/0001-59,AGGS INDS GRAFICAS SA,CANCELADA,5/14/1971,,5/4/1987
61.442.752/0001-05,AGIP DISTRIBUIDORA SA,CANCELADA,10/10/1975,,1/14/2000
07.698.047/0001-10,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,CANCELADA,4/19/2007,8/5/2005,5/28/2010
88.610.324/0001-92,AGRALE SA,CANCELADA,7/20/1977,,6/26/2000
11.040.082/0001-14,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,CANCELADA,12/22/2009,7/16/2009,7/19/2010
88.070.990/0001-85,AGRILEASING SA ARREND MERC,CANCELADA,1/24/1983,,9/30/1985
09.378.563/0001-92,AGRO PASTORIL CARIRI SA CARIRISA,CANCELADA,7/20/1977,,8/9/2005
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A,ATIVO,3/19/2021,10/2/2014,
21.444.765/0001-90,AGRONORTE SA,CANCELADA,7/20/1977,,12/20/2005
03.143.716/0001-36,AGROPECUARIA TAMAKAVY SA,CANCELADA,9/16/1983,,2/25/1988
27.157.474/0001-06,ÁGUAS DE TERESINA SANEAMENTO SPE S.A.,ATIVO,2/25/2021,2/21/2017,
42.310.775/0001-03,ÁGUAS DO RIO 1 SPE S.A.,ATIVO,3/30/2022,5/26/2021,
42.644.220/0001-06,ÁGUAS DO RIO 4 SPE S.A.,ATIVO,3/30/2022,5/26/2021,
45.456.117/0001-12,ÁGUAS DO SERTAO S.A.,ATIVO,11/3/2023,2/1/2022,
04.089.570/0001-50,AGUAS GUARIROBA S.A.,ATIVO,8/6/2014,9/29/2000,
09.594.796/0001-22,AGV HOLDING S/A,CANCELADA,11/5/2009,10/23/1998,3/10/2014
60.830.296/0001-08,AIR LIQUIDE,CANCELADA,9/17/1970,,11/19/1998
56.994.791/0001-77,AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA,CANCELADA,11/27/1998,1/6/1997,11/13/2007
02.783.422/0001-06,ALBAE PARTICIPACOES SA,CANCELADA,12/10/1998,9/14/1998,5/15/2002
57.912.396/0001-60,ALBATROZ SA,CANCELADA,11/5/1987,,12/27/1990
08.240.673/0001-20,ALCALIS RIO GRANDE DO NORTE SA,CANCELADA,7/28/1995,10/30/1974,1/4/2010
60.561.800/0001-03,ALCAN ALUMINIO DO BRASIL SA,CANCELADA,11/11/1983,,7/28/1987
23.637.697/0001-01,ALCOA ALUMINIO SA,CANCELADA,10/20/1981,,10/19/1993
17.167.396/0001-69,ALFA HOLDINGS S.A.,ATIVO,7/20/1977,8/11/1969,
15.167.984/0001-77,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,CANCELADA,11/17/1980,,11/13/2007
92.689.173/0001-87,ALFRED SA COMERCIO DO VESTUARIO,CANCELADA,1/22/1982,,8/9/2005
71.208.516/0001-74,ALGAR TELECOM S/A,ATIVO,7/27/2007,1/1/2004,
06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S/A,CANCELADA,1/18/2008,1/1/2004,8/5/2019
02.997.713/0001-05,ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA,CANCELADA,5/26/1999,1/29/1999,11/10/2003
33.826.637/0001-90,ALIPAR ALIMENTOS E PARTS SA,CANCELADA,12/28/1992,,9/27/1995
02.783.425/0001-40,ALIUM PARTICIPAÇÕES SA,CANCELADA,12/10/1998,9/14/1998,8/31/2011
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ATIVO,10/26/2016,8/5/1992,
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,ATIVO,11/25/2020,4/10/2014,
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,ATIVO,11/25/2020,4/10/2014,
08.648.295/0001-19,ALLIS PARTICIPAÇÕES S.A.,CANCELADA,7/2/2007,12/11/2006,8/26/2015
05.878.397/0001-32,ALLOS S.A.,ATIVO,2/1/2011,7/17/2003,
05.878.397/0001-32,ALLOS S.A.,ATIVO,2/1/2011,7/17/2003,
60.537.263/0001-66,ALLPARK EMPREENDIMENTOS,,,,
60.537.263/0001-66,ALLPARK EMPREENDIMENTOS,,,,
18.012.393/0001-19,ALMEC INDUSTRIAS MECANICA SA,CANCELADA,1/3/1975,,3/22/2005
82.120.676/0001-83,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,ATIVO,11/22/2021,8/1/1990,
61.079.117/0001-05,ALPARGATAS SA,ATIVO,7/20/1977,4/3/1907,
61.079.117/0001-05,ALPARGATAS SA,ATIVO,7/20/1977,4/3/1907,
47.848.684/0001-40,ALPART ALPA PARTICIPACOES SA,CANCELADA,9/3/1982,,10/19/1989
11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,ATIVO,10/28/2010,3/10/2010,
16.811.931/0001-00,ALPHAVILLE S.A.,ATIVO,11/5/2020,2/13/2012,
87.819.926/0001-91,ALPINA BRASIL SA MAQ IMP AGRIC,CANCELADA,8/20/1976,,8/9/2005
49.705.528/0001-55,ALPLAN SA IND COM CH MAD AGLOM,CANCELADA,12/2/1982,,8/2/1989
02.282.923/0001-09,ALTA - AMER.LAT.TELEC.AVANÇADAS S/A,CANCELADA,5/11/1998,5/11/1998,12/29/2003
02.783.423/0001-50,ALTERE SECURITIZADORA S.A.,ATIVO,12/10/1998,9/14/1998,
48.344.725/0007-19,ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA,ATIVO,11/30/2022,7/2/1992,
92.859.974/0001-43,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,CANCELADA,7/2/2013,6/6/1989,12/8/2017
08.262.121/0001-13,ALUBAR METAIS E CABOS S.A.,ATIVO,1/29/2024,8/31/2006,
10.886.893/0001-78,ALUMINIO EXTRUSAO LAMINACAO,CANCELADA,12/12/1979,,1/30/1997
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,ATIVO,6/18/2008,9/27/2006,
82.998.600/0001-55,ALUSUD ALUMINIO DO SUL SA,CANCELADA,12/17/1975,,5/15/1987
42.233.757/0001-75,ALVAREZ & MARSAL INVESTIMENTOS I S.A.,ATIVO,11/30/2021,6/8/2021,
07.196.934/0001-90,ALVORADA CARTOES,,,,
96.735.105/0001-68,AMADEO ROSSI SA MET MUNICOES,CANCELADA,12/8/1971,,9/18/2002
24.170.211/0001-30,AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,CANCELADA,8/14/2018,1/13/2016,11/5/2018
02.036.227/0001-12,AMARANTE PARTICIPACOES SA,CANCELADA,2/26/1998,7/4/1997,6/20/2000
47.959.697/0001-96,AMAZONAS PRODS P CALCADOS SA,CANCELADA,2/28/1983,,6/15/1988
38.543.489/0001-10,AMAZONE FUN PARKS S/A,CANCELADA,8/26/2022,6/22/2020,6/16/2023
02.340.278/0001-33,AMAZONIA CELULAR S/A,CANCELADA,5/6/1998,1/5/1998,3/9/2009
07.526.557/0001-00,AMBEV S.A.,ATIVO,10/30/2013,7/8/2005,
07.526.557/0001-00,AMBEV S.A.,ATIVO,10/30/2013,7/8/2005,
